kind,threshold,answerable_kept,answerable_kept_with_gold,unanswerable_blocked,balanced_acc
dense,0.7,0.2941,0.2941,1.0,0.6471
dense,0.71,0.2647,0.2647,1.0,0.6324
dense,0.72,0.1176,0.1176,1.0,0.5588
dense,0.73,0.1176,0.1176,1.0,0.5588
dense,0.74,0.0588,0.0588,1.0,0.5294
dense,0.75,0.0588,0.0588,1.0,0.5294
dense,0.76,0.0294,0.0294,1.0,0.5147
dense,0.77,0.0294,0.0294,1.0,0.5147
dense,0.78,0.0,0.0,1.0,0.5
dense,0.79,0.0,0.0,1.0,0.5
dense,0.8,0.0,0.0,1.0,0.5
dense,0.81,0.0,0.0,1.0,0.5
dense,0.82,0.0,0.0,1.0,0.5
dense,0.83,0.0,0.0,1.0,0.5
dense,0.84,0.0,0.0,1.0,0.5
dense,0.85,0.0,0.0,1.0,0.5
dense,0.86,0.0,0.0,1.0,0.5
dense,0.87,0.0,0.0,1.0,0.5
dense,0.88,0.0,0.0,1.0,0.5
dense,0.89,0.0,0.0,1.0,0.5
dense,0.9,0.0,0.0,1.0,0.5
dense,0.91,0.0,0.0,1.0,0.5
rerank,0,1.0,0.8824,0.0,0.5
rerank,0.01,0.9706,0.8824,0.5714,0.771
rerank,0.02,0.9412,0.8529,0.7143,0.8277
rerank,0.05,0.9118,0.8235,0.8571,0.8845
rerank,0.1,0.9118,0.8235,1.0,0.9559
rerank,0.15,0.9118,0.8235,1.0,0.9559
rerank,0.2,0.9118,0.8235,1.0,0.9559
rerank,0.3,0.8824,0.7941,1.0,0.9412
rerank,0.4,0.8824,0.7941,1.0,0.9412
rerank,0.5,0.8824,0.7941,1.0,0.9412
rerank,0.6,0.8529,0.7941,1.0,0.9265
rerank,0.7,0.8235,0.7647,1.0,0.9118
